Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
110,Vladimír Coufal,cz CZE,DF,West Ham,32-245,1992,9.6,574,55,221,242,114,9,574,7,2,28.6,2,28.6,229,1217,623,14,5,1,10,6,313,24,Matches
111,Woyo Coulibaly,fr FRA,DF,Leicester City,25-339,1999,1.2,76,8,27,31,20,4,76,1,0,0.0,1,100.0,48,288,169,4,2,1,4,0,36,2,Matches
112,Aaron Cresswell,eng ENG,DF,West Ham,35-130,1989,6.5,495,33,196,236,68,1,495,1,1,100.0,0,0.0,200,773,388,4,7,0,3,0,312,2,Matches
113,Marc Cucurella,es ESP,DF,Chelsea,26-276,1998,28.2,1918,97,577,877,472,69,1918,13,4,30.8,7,53.8,830,3447,2009,30,17,2,25,6,1198,106,Matches
114,Jorge Cuenca,es ESP,DF,Fulham,25-158,1999,2.9,152,23,88,59,6,1,152,2,2,100.0,0,0.0,65,235,116,0,1,0,1,0,92,0,Matches
115,Matheus Cunha,br BRA,"MF,FW",Wolves,25-332,1999,25.0,1337,22,165,616,603,109,1336,123,55,44.7,54,43.9,762,5736,2835,95,79,33,70,45,891,141,Matches
116,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-197,1998,7.2,234,8,38,108,92,27,234,15,2,13.3,10,66.7,132,651,280,9,6,4,18,10,156,33,Matches
117,Diogo Dalot,pt POR,DF,Manchester Utd,26-037,1999,31.0,1965,113,658,767,557,66,1965,53,27,50.9,22,41.5,1111,4912,2684,62,37,16,37,21,1186,164,Matches
118,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-295,2000,27.7,1619,33,293,734,614,70,1619,89,46,51.7,32,36.0,924,5077,2615,62,42,9,53,42,1075,115,Matches
119,Danilo,br BRA,"MF,FW",Nott'ham Forest,23-360,2001,3.0,140,8,50,78,13,0,140,6,3,50.0,3,50.0,49,217,61,2,0,0,6,0,83,1,Matches
120,Jayden Danns,eng ENG,MF,Liverpool,19-098,2006,0.1,2,0,0,0,2,0,2,0,0,,0,,1,2,1,0,0,0,0,1,1,0,Matches
121,Kevin Danso,at AUT,DF,Tottenham,26-217,1998,4.4,395,45,204,170,23,7,395,2,1,50.0,1,50.0,282,1462,800,10,4,0,7,1,297,1,Matches
122,Ben Davies,wls WAL,DF,Tottenham,32-000,1993,10.5,901,148,458,400,43,12,901,1,1,100.0,0,0.0,528,2704,1576,13,9,0,4,0,618,6,Matches
123,Leif Davis,eng ENG,DF,Ipswich Town,25-102,2000,28.5,1459,115,517,484,477,36,1459,37,13,35.1,17,45.9,659,3571,1940,48,27,10,36,14,770,117,Matches
124,Craig Dawson,eng ENG,DF,Wolves,34-353,1990,10.8,671,130,396,249,28,14,671,5,1,20.0,2,40.0,390,1819,938,6,1,0,2,0,443,5,Matches
125,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,33-300,1991,16.2,1153,10,70,391,702,66,1153,30,12,40.0,14,46.7,677,3478,1825,47,43,18,24,25,862,132,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
126,Liam Delap,eng ENG,FW,Ipswich Town,22-075,2003,26.2,621,28,72,258,309,85,619,78,37,47.4,33,42.3,408,3068,1439,58,42,28,92,55,490,101,Matches
127,Sepp van den Berg,nl NED,DF,Brentford,23-125,2001,23.7,1329,236,673,502,157,40,1329,7,4,57.1,3,42.9,583,2899,1446,8,9,0,14,6,742,27,Matches
128,Justin Devenny,nir NIR,MF,Crystal Palace,21-195,2003,4.8,229,7,42,112,80,7,229,4,2,50.0,2,50.0,107,564,269,4,5,1,15,2,138,12,Matches
129,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,26-230,1998,2.9,180,4,28,94,58,6,180,4,2,50.0,2,50.0,93,474,221,5,1,0,1,3,136,11,Matches
130,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-287,2002,17.7,1012,13,150,374,504,109,1012,72,36,50.0,32,44.4,656,4482,2294,92,46,52,35,32,714,159,Matches
131,Rúben Dias,pt POR,DF,Manchester City,27-345,1997,21.2,2133,188,711,1175,251,22,2133,3,2,66.7,1,33.3,1524,8574,5097,34,53,1,6,1,1738,6,Matches
132,Luis Díaz,co COL,FW,Liverpool,28-101,1997,23.9,1088,15,75,377,655,154,1088,110,51,46.4,48,43.6,718,5309,2777,102,51,55,51,42,860,265,Matches
133,Tyler Dibling,eng ENG,"FW,MF",Southampton,19-043,2006,18.7,796,24,103,363,349,40,796,102,44,43.1,37,36.3,514,4141,2085,67,47,26,41,52,599,90,Matches
134,Lucas Digne,fr FRA,DF,Aston Villa,31-278,1993,24.9,1473,90,510,449,524,28,1473,19,9,47.4,9,47.4,669,2941,1319,23,14,4,17,15,804,140,Matches
135,Issa Diop,fr FRA,DF,Fulham,28-105,1997,14.9,903,125,498,381,26,13,903,2,1,50.0,1,50.0,533,2426,1216,6,2,0,9,2,617,3,Matches
136,Axel Disasi,fr FRA,DF,Aston Villa,27-044,1998,5.4,334,32,130,178,29,6,334,15,9,60.0,6,40.0,207,1268,621,10,8,2,3,2,223,5,Matches
137,Axel Disasi,fr FRA,DF,Chelsea,27-044,1998,4.0,323,17,110,175,40,2,323,1,1,100.0,0,0.0,196,953,519,6,3,0,1,3,242,2,Matches
138,Roman Dixon,eng ENG,DF,Everton,20-119,2004,1.0,36,8,19,14,4,0,36,3,0,0.0,3,100.0,16,107,48,0,0,0,2,0,13,1,Matches
